0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,1
9.8,1
9.9,1
10,1
10.1,1
10.2,2
10.3,2
10.4,6
10.5,4
10.6,11
10.7,10
10.8,15
10.9,14
11,18
11.1,33
11.2,45
11.3,42
11.4,57
11.5,73
11.6,68
11.7,109
11.8,114
11.9,93
12,156
12.1,185
12.2,246
12.3,184
12.4,252
12.5,427
12.6,652
12.7,570
12.8,613
12.9,581
13,273
13.1,372
13.2,469
13.3,167
13.4,80
13.5,104
13.6,82
13.7,104
13.8,97
13.9,81
14,68
14.1,58
14.2,53
14.3,20
14.4,23
14.5,7
14.6,2
14.7,8
14.8,6
14.9,4
15,9
15.1,6
15.2,2
15.3,2
15.4,2
15.5,1
15.6,1
15.7,2
15.8,3
15.9,2
16,1
16.1,0
16.2,1
16.3,0
16.4,0
16.5,5
16.6,2
16.7,1
16.8,0
16.9,2
17,7
17.1,2
17.2,6
17.3,4
17.4,6
17.5,4
17.6,5
17.7,9
17.8,8
17.9,7
18,6
18.1,4
18.2,9
18.3,8
18.4,10
18.5,4
18.6,8
18.7,5
18.8,12
18.9,15
19,12
19.1,18
19.2,13
19.3,10
19.4,12
19.5,13
19.6,15
19.7,30
19.8,24
19.9,12
20,19
20.1,19
20.2,37
20.3,16
20.4,12
20.5,24
20.6,35
20.7,24
20.8,16
20.9,27
21,17
21.1,35
21.2,25
21.3,21
21.4,15
21.5,28
21.6,11
21.7,15
21.8,18
21.9,16
22,20
22.1,37
22.2,55
22.3,34
22.4,30
22.5,33
22.6,49
22.7,47
22.8,53
22.9,39
23,71
23.1,74
23.2,67
23.3,44
23.4,47
23.5,44
